datetime,rain_mm_h
2025-10-01 00:00:00,2.4
2025-10-01 01:00:00,20.6
2025-10-01 02:00:00,18.6
2025-10-01 03:00:00,20.7
2025-10-01 04:00:00,20.0
2025-10-01 05:00:00,18.8
2025-10-01 06:00:00,37.1
2025-10-01 07:00:00,18.3
2025-10-01 08:00:00,22.3
2025-10-01 09:00:00,0.5
2025-10-01 10:00:00,1.3
2025-10-01 11:00:00,0.7
2025-10-01 12:00:00,0.3
2025-10-01 13:00:00,0.9
2025-10-01 14:00:00,2.0
2025-10-01 15:00:00,1.3
2025-10-01 16:00:00,0.1
2025-10-01 17:00:00,0.4
2025-10-01 18:00:00,2.4
2025-10-01 19:00:00,20.7
2025-10-01 20:00:00,21.7
2025-10-01 21:00:00,21.8
2025-10-01 22:00:00,40.0
2025-10-01 23:00:00,2.3
2025-10-02 00:00:00,1.7
2025-10-02 01:00:00,1.3
2025-10-02 02:00:00,0.5
2025-10-02 03:00:00,23.1
2025-10-02 04:00:00,38.8
2025-10-02 05:00:00,24.7
2025-10-02 06:00:00,22.7
2025-10-02 07:00:00,0.8
2025-10-02 08:00:00,0.7
2025-10-02 09:00:00,42.7
2025-10-02 10:00:00,23.3
2025-10-02 11:00:00,23.4
2025-10-02 12:00:00,22.6
2025-10-02 13:00:00,21.7
2025-10-02 14:00:00,0.0
2025-10-02 15:00:00,23.9
2025-10-02 16:00:00,22.7
2025-10-02 17:00:00,24.7
2025-10-02 18:00:00,43.6
2025-10-02 19:00:00,0.8
2025-10-02 20:00:00,0.8
2025-10-02 21:00:00,1.8
2025-10-02 22:00:00,2.2
2025-10-02 23:00:00,0.3
2025-10-03 00:00:00,20.6
2025-10-03 01:00:00,35.3
2025-10-03 02:00:00,19.5
2025-10-03 03:00:00,23.5
2025-10-03 04:00:00,0.1
2025-10-03 05:00:00,0.8
2025-10-03 06:00:00,2.3
2025-10-03 07:00:00,1.0
2025-10-03 08:00:00,25.0
2025-10-03 09:00:00,25.6
2025-10-03 10:00:00,26.7
2025-10-03 11:00:00,36.9
2025-10-03 12:00:00,23.2
2025-10-03 13:00:00,22.1
2025-10-03 14:00:00,24.2
2025-10-03 15:00:00,16.0
2025-10-03 16:00:00,17.4
2025-10-03 17:00:00,20.7
2025-10-03 18:00:00,16.9
2025-10-03 19:00:00,43.6
2025-10-03 20:00:00,15.2
2025-10-03 21:00:00,1.3
2025-10-03 22:00:00,0.6
2025-10-03 23:00:00,0.8
2025-10-04 00:00:00,16.4
2025-10-04 01:00:00,17.6
2025-10-04 02:00:00,38.0
2025-10-04 03:00:00,20.2
2025-10-04 04:00:00,0.1
2025-10-04 05:00:00,1.3
2025-10-04 06:00:00,0.7
2025-10-04 07:00:00,42.3
2025-10-04 08:00:00,21.5
2025-10-04 09:00:00,22.1
2025-10-04 10:00:00,22.4
2025-10-04 11:00:00,19.3
2025-10-04 12:00:00,21.0
2025-10-04 13:00:00,1.6
2025-10-04 14:00:00,1.3
2025-10-04 15:00:00,2.1
2025-10-04 16:00:00,0.5
2025-10-04 17:00:00,1.5
2025-10-04 18:00:00,41.8
2025-10-04 19:00:00,21.2
2025-10-04 20:00:00,19.7
2025-10-04 21:00:00,24.8
2025-10-04 22:00:00,21.5
2025-10-04 23:00:00,22.2
2025-10-05 00:00:00,26.5
2025-10-05 01:00:00,22.8
2025-10-05 02:00:00,25.2
2025-10-05 03:00:00,37.6
2025-10-05 04:00:00,24.6
2025-10-05 05:00:00,29.2
2025-10-05 06:00:00,27.8
2025-10-05 07:00:00,26.4
2025-10-05 08:00:00,41.4
2025-10-05 09:00:00,18.9
2025-10-05 10:00:00,19.4
2025-10-05 11:00:00,38.7
2025-10-05 12:00:00,22.1
2025-10-05 13:00:00,36.8
2025-10-05 14:00:00,15.3
2025-10-05 15:00:00,16.2
2025-10-05 16:00:00,16.0
2025-10-05 17:00:00,1.2
2025-10-05 18:00:00,0.9
2025-10-05 19:00:00,22.0
2025-10-05 20:00:00,19.1
2025-10-05 21:00:00,20.8
2025-10-05 22:00:00,20.2
2025-10-05 23:00:00,20.0
