datetime,rain_mm_h
2025-07-01 00:00:00,1.9
2025-07-01 01:00:00,10.8
2025-07-01 02:00:00,9.4
2025-07-01 03:00:00,0.7
2025-07-01 04:00:00,1.3
2025-07-01 05:00:00,1.4
2025-07-01 06:00:00,5.6
2025-07-01 07:00:00,6.0
2025-07-01 08:00:00,6.9
2025-07-01 09:00:00,0.6
2025-07-01 10:00:00,0.3
2025-07-01 11:00:00,0.7
2025-07-01 12:00:00,1.6
2025-07-01 13:00:00,1.0
2025-07-01 14:00:00,0.1
2025-07-01 15:00:00,0.3
2025-07-01 16:00:00,1.9
2025-07-01 17:00:00,6.9
2025-07-01 18:00:00,7.8
2025-07-01 19:00:00,7.8
2025-07-01 20:00:00,1.2
2025-07-01 21:00:00,13.1
2025-07-01 22:00:00,14.7
2025-07-01 23:00:00,13.3
2025-07-02 00:00:00,14.2
2025-07-02 01:00:00,0.4
2025-07-02 02:00:00,9.1
2025-07-02 03:00:00,11.2
2025-07-02 04:00:00,10.4
2025-07-02 05:00:00,1.1
2025-07-02 06:00:00,1.9
2025-07-02 07:00:00,9.0
2025-07-02 08:00:00,7.1
2025-07-02 09:00:00,1.1
2025-07-02 10:00:00,1.6
2025-07-02 11:00:00,2.0
2025-07-02 12:00:00,6.0
2025-07-02 13:00:00,6.7
2025-07-02 14:00:00,8.8
2025-07-02 15:00:00,9.1
2025-07-02 16:00:00,8.4
2025-07-02 17:00:00,7.6
2025-07-02 18:00:00,6.7
2025-07-02 19:00:00,5.5
2025-07-02 20:00:00,0.6
2025-07-02 21:00:00,1.5
2025-07-02 22:00:00,1.8
2025-07-02 23:00:00,0.2
2025-07-03 00:00:00,11.2
2025-07-03 01:00:00,11.2
2025-07-03 02:00:00,1.4
2025-07-03 03:00:00,0.9
2025-07-03 04:00:00,1.8
2025-07-03 05:00:00,1.1
2025-07-03 06:00:00,0.3
2025-07-03 07:00:00,1.1
2025-07-03 08:00:00,1.9
2025-07-03 09:00:00,1.4
2025-07-03 10:00:00,13.6
2025-07-03 11:00:00,14.6
2025-07-03 12:00:00,14.3
2025-07-03 13:00:00,1.8
2025-07-03 14:00:00,1.6
2025-07-03 15:00:00,13.2
2025-07-03 16:00:00,14.7
2025-07-03 17:00:00,12.1
2025-07-03 18:00:00,13.5
2025-07-03 19:00:00,0.3
2025-07-03 20:00:00,1.0
2025-07-03 21:00:00,0.5
2025-07-03 22:00:00,0.3
2025-07-03 23:00:00,1.1
2025-07-04 00:00:00,0.1
2025-07-04 01:00:00,0.5
2025-07-04 02:00:00,1.4
2025-07-04 03:00:00,2.0
2025-07-04 04:00:00,2.0
2025-07-04 05:00:00,0.1
2025-07-04 06:00:00,1.3
2025-07-04 07:00:00,1.1
2025-07-04 08:00:00,1.1
2025-07-04 09:00:00,0.2
2025-07-04 10:00:00,0.5
2025-07-04 11:00:00,11.9
2025-07-04 12:00:00,11.5
2025-07-04 13:00:00,1.7
2025-07-04 14:00:00,0.4
2025-07-04 15:00:00,1.2
2025-07-04 16:00:00,0.0
2025-07-04 17:00:00,0.5
2025-07-04 18:00:00,0.3
2025-07-04 19:00:00,0.8
2025-07-04 20:00:00,12.7
2025-07-04 21:00:00,10.6
2025-07-04 22:00:00,1.4
2025-07-04 23:00:00,0.3
2025-07-05 00:00:00,9.3
2025-07-05 01:00:00,8.7
2025-07-05 02:00:00,11.9
2025-07-05 03:00:00,11.9
2025-07-05 04:00:00,10.8
2025-07-05 05:00:00,0.7
2025-07-05 06:00:00,13.2
2025-07-05 07:00:00,15.1
2025-07-05 08:00:00,15.0
2025-07-05 09:00:00,15.3
2025-07-05 10:00:00,9.1
2025-07-05 11:00:00,9.5
2025-07-05 12:00:00,11.7
2025-07-05 13:00:00,9.1
2025-07-05 14:00:00,9.7
2025-07-05 15:00:00,1.4
2025-07-05 16:00:00,0.4
2025-07-05 17:00:00,8.7
2025-07-05 18:00:00,9.4
2025-07-05 19:00:00,11.8
2025-07-05 20:00:00,10.0
2025-07-05 21:00:00,11.0
2025-07-05 22:00:00,10.6
2025-07-05 23:00:00,1.9
