hour,rain_mm_h
0,5.0
1,5.0
2,5.0
3,5.0
4,5.0
5,5.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,5.0
13,5.0
14,5.0
15,5.0
16,5.0
17,5.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,5.0
25,5.0
26,5.0
27,5.0
28,5.0
29,5.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,5.0
37,5.0
38,5.0
39,5.0
40,5.0
41,5.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,5.0
49,5.0
50,5.0
51,5.0
52,5.0
53,5.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,5.0
73,5.0
74,5.0
75,5.0
76,5.0
77,5.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,5.0
85,5.0
86,5.0
87,5.0
88,5.0
89,5.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,5.0
97,5.0
98,5.0
99,5.0
100,5.0
101,5.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,5.0
109,5.0
110,5.0
111,5.0
112,5.0
113,5.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,5.0
121,5.0
122,5.0
123,5.0
124,5.0
125,5.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,5.0
133,5.0
134,5.0
135,5.0
136,5.0
137,5.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,5.0
145,5.0
146,5.0
147,5.0
148,5.0
149,5.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,5.0
157,5.0
158,5.0
159,5.0
160,5.0
161,5.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
